"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 04 03:18:34 EEST 2024","Wed Sep 04 03:18:34 EEST 2024","22","UserTests","Web Tests - Fireforx","com.example.Tests.web.RegistrationPageTests","com.example.Tests.web.RegistrationPageTests","checkVisibilityOfRegistrationFormElements","checkVisibilityOfRegistrationFormElements",""
"passed","Wed Sep 04 03:18:28 EEST 2024","Wed Sep 04 03:18:28 EEST 2024","328","UserTests","API Tests","com.example.Tests.api.UserTests","com.example.Tests.api.UserTests","testListUsersInPageNo2","testListUsersInPageNo2",""
"passed","Wed Sep 04 03:18:29 EEST 2024","Wed Sep 04 03:18:29 EEST 2024","278","UserTests","API Tests","com.example.Tests.api.UserTests","com.example.Tests.api.UserTests","testUpdateUser","testUpdateUser",""
"passed","Wed Sep 04 03:18:58 EEST 2024","Wed Sep 04 03:18:58 EEST 2024","22","UserTests","Web Tests - Chrome","com.example.Tests.web.RegistrationPageTests","com.example.Tests.web.RegistrationPageTests","checkVisibilityOfRegistrationFormElements","checkVisibilityOfRegistrationFormElements",""
"passed","Wed Sep 04 03:18:29 EEST 2024","Wed Sep 04 03:18:29 EEST 2024","214","UserTests","API Tests","com.example.Tests.api.UserTests","com.example.Tests.api.UserTests","testListUsersInPageNo2","testListUsersInPageNo2",""
"passed","Wed Sep 04 03:18:27 EEST 2024","Wed Sep 04 03:18:28 EEST 2024","336","UserTests","API Tests","com.example.Tests.api.UserTests","com.example.Tests.api.UserTests","testCreateUser","testCreateUser",""
"passed","Wed Sep 04 03:19:02 EEST 2024","Wed Sep 04 03:19:08 EEST 2024","6349","UserTests","Web Tests - Chrome","com.example.Tests.web.RegistrationPageTests","com.example.Tests.web.RegistrationPageTests","testRegistrationWithValidData","testRegistrationWithValidData",""
"passed","Wed Sep 04 03:18:29 EEST 2024","Wed Sep 04 03:18:29 EEST 2024","233","UserTests","API Tests","com.example.Tests.api.UserTests","com.example.Tests.api.UserTests","testListUsersInPageNo2","testListUsersInPageNo2",""
"passed","Wed Sep 04 03:18:35 EEST 2024","Wed Sep 04 03:18:38 EEST 2024","3384","UserTests","Web Tests - Fireforx","com.example.Tests.web.RegistrationPageTests","com.example.Tests.web.RegistrationPageTests","testRegistrationWithInValidData","testRegistrationWithInValidData",""
"passed","Wed Sep 04 03:18:58 EEST 2024","Wed Sep 04 03:19:01 EEST 2024","2876","UserTests","Web Tests - Chrome","com.example.Tests.web.RegistrationPageTests","com.example.Tests.web.RegistrationPageTests","testRegistrationWithInValidData","testRegistrationWithInValidData",""
"passed","Wed Sep 04 03:18:28 EEST 2024","Wed Sep 04 03:18:28 EEST 2024","222","UserTests","API Tests","com.example.Tests.api.UserTests","com.example.Tests.api.UserTests","testListUsersInPageNo2","testListUsersInPageNo2",""
"passed","Wed Sep 04 03:18:28 EEST 2024","Wed Sep 04 03:18:29 EEST 2024","220","UserTests","API Tests","com.example.Tests.api.UserTests","com.example.Tests.api.UserTests","testListUsersInPageNo2","testListUsersInPageNo2",""
"passed","Wed Sep 04 03:18:26 EEST 2024","Wed Sep 04 03:18:27 EEST 2024","1678","UserTests","API Tests","com.example.Tests.api.UserTests","com.example.Tests.api.UserTests","testCreateUser","testCreateUser",""
"passed","Wed Sep 04 03:18:28 EEST 2024","Wed Sep 04 03:18:28 EEST 2024","206","UserTests","API Tests","com.example.Tests.api.UserTests","com.example.Tests.api.UserTests","testListUsersInPageNo2","testListUsersInPageNo2",""
"passed","Wed Sep 04 03:18:29 EEST 2024","Wed Sep 04 03:18:30 EEST 2024","256","UserTests","API Tests","com.example.Tests.api.UserTests","com.example.Tests.api.UserTests","testUpdateUser","testUpdateUser",""
"passed","Wed Sep 04 03:18:39 EEST 2024","Wed Sep 04 03:18:45 EEST 2024","5969","UserTests","Web Tests - Fireforx","com.example.Tests.web.RegistrationPageTests","com.example.Tests.web.RegistrationPageTests","testRegistrationWithValidData","testRegistrationWithValidData",""
